127.0.0.1 - - [11/Jul/2025:14:02:32 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:02:33 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:02:33 +0900] "GET /JQUERY01/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:02:33 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:03:48 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:04:43 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:43 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:47 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:57 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:57 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:57 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:09:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:11:13 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:11:13 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [11/Jul/2025:14:11:13 +0900] "GET /JQUERY01/event_ex3.html HTTP/1.1" 304 -
